 : 35
triangle : 17
tried : 2
trilithons : 2
trip : 2
troy : 1
true : 5
try : 2
trying : 1
turned : 2
tut : 4
tutankhamun : 5
tutankhamuns : 3
tuts : 7
twentieth : 3
twenty : 2
twentyfour : 1
two : 14
twoyearold : 1
tyres : 2
umatilla : 1
uncertainties : 1
under : 3
understand : 2
underwater : 1
undiscovered : 1
unexpected : 1
unexplained : 2
unfortunately : 1
unhappy : 1
unique : 1
united : 5
university : 4
unknown : 3
unlucky : 5
unrefined : 2
unsolved : 1
until : 5
untouched : 1
unusual : 1
up : 3
us : 6
used : 7
using : 4
usually : 1
v : 1
valley : 4
value : 1
vanished : 2
very : 21
vessels : 1
victim : 3
victims : 1
vincent : 2
vinson : 1
violence : 1
violent : 3
virginia : 2
virus : 1
visited : 1
visiting : 2
visitors : 1
vowel : 1
voyage : 4
wales : 2
walked : 1
walks : 1
walsh : 1
want : 5
wanted : 5
war : 3
was : 142
washington : 3
watched : 1
water : 2
waves : 1
way : 1
we : 11
wealthy : 3
wearing : 1
weather : 10
week : 1
weigh : 1
weighed : 2
weighing : 1
well : 2
wellknown : 1
went : 6
were : 49
what : 20
wheel : 1
when : 21
where : 11
which : 14
while : 4
who : 22
whom : 1
why : 14
wife : 4
wild : 3
wilderness : 1
wildman : 5
will : 12
william : 1
wiltshire : 1
wind : 3
wings : 1
winston : 2
winter : 2
with : 31
without : 9
wizard : 1
wonderful : 2
wont : 1
wood : 2
wooden : 1
word : 3
words : 1
wore : 2
work : 1
worked : 3
workers : 5
working : 9
world : 13
worlds : 1
worn : 1
worry : 1
worse : 2
worship : 1
would : 1
wreck : 2
wrecked : 1
writer : 3
writing : 2
written : 2
wrong : 3
wrote : 9
xiv : 2
xray : 1
xvi : 1
yacht : 2
yachts : 1
year : 3
yearlong : 1
years : 22
yellow : 3
yes : 1
yet : 3
yeti : 9
yetis : 1
york : 1
you : 15
young : 8
your : 3
youre : 1
yowie : 5
yowies : 1
zoologists : 1
